,text
69,@Tizzalicious I saw that too on the news...scary...I am afraid Flanders is going the same way too on sunday 
70,watching jaws revenge. boring a.f! eating ramen and drinking sprite . . should b partying . . *grounded* 
71,im so sad  really sad guys
72,@twistednurse76 Heeeeey!!  How are you today hunnie? Hope you're well? xxx
73,"ahhh chem lab, for 4 straight hrs.  i miss my bed "
74,bad hangover....  party again tongiht!!!? hell yeah.
75,wanted to drop the finished &quot;Sky Might Fall&quot; on the premiere of Transformers 2 but it wont be mastered in time 
76,counting down days of school left! 9 DAYS!!! 
77,@danielvoyager i was able to send a tweet in sl today 
78,I want T-Mobile Sidekick LX badly.... 
79,"@billbeckett you should log into the remember maine myspace, for old times sake "
80,In some picture I have similar shoes to @selenagomez haha 
81,I'm with javier yair sarah mikki and luis in three different cars hitting up fast food restaurants. 
82,@jimjonescapo Whats up back to you dude!! 
83,full...   .  going to sleep in a bit * yawns * ate like half a pak of sour patch and it made me sleepy ???
84,@MsJadis yay for sparkle heaven! See you tomorrow 
85,Blah. Is it noon tomorrow yet?? 
86,"@KristenChanel totally! whole day err!!  Snack, snack!"
87,@aamelia yayaya. i saw them in feb  one of the best days of my life &lt;333
88,"@Jaynecollinsmac Nooooooooooooo, I'm away  Please do Liverpool either a few days before the 25th or after the 7th (Y)"
89,"@oliveandfig Wow, you never tweet. Nah not yet. Its on Tuesday  Don't spoil it for me."
90,"wow i just noticed that i must got about 19 followers last night. this,or i cant count "
91,Hmmm there's a flight to Vegas what should I do? Ha! Man I miss my apt in sobe too much have to get back...o ya miss my girls too 
92,My son has stomach virus  guess I'm pulling an all nighter tonight .  Mom might have it too - lets hope not!
93,@riggsjosh it rains all the time in seattle josh!! duh! 
94,"@ShashiTharoor, You look so much more mallu in that picture on the blog! You might also want to add a twitter link there. "
95,@MaryBeth66 Things are pretty good over here. School will be over for me on Thursday. As I'm sure you know I can't wait. 
96,"@hanseebundee oh Hans they are horrible my M&amp;D both get them, have to give her a comforting lick "
97,Wants jackie nelson here like now 
98,"Ate frozen bananas, and now I am cold. "
99,@amberlinfield that is disgusting. i miss you too  what are you doing this weekend?
100,Is @ The Cheesecake Factory with my spoiled rotten daughter per her PERSISTENT request! Dads a push over 
101,http://bit.ly/9qtpe          buy my stuff! parting with my childhood - sad times 
102,@sammy1986 hello  how are you ?
103,Sweet Grrr Dreams! 
104,"@ionlydrumnaked i've done that before, don't worry. you're not too crazy. "
105,@_Cassiee I can't believe you left! why babe??????? i miss you so much! 
106,"@tombeal I found an even simpler solution was to accidentally delete all my music, solved that problem real quick, added another though "
107,is saddened that there is a good possibility that China will be producing OUR cars and shipping the autos back to us to sell????  
108,off to have a bbq 
109,it's over....on our way to the airport 
110,Men it's far too sunny 
111,Just relaxing...getting bored and hating the summer heat.. 
112,i would make the worst drummer in the world. im either to late or to early. being on time isn't in my blood 
113,@aquadj James and I battle over everything too! It's kind of a love-hate relationship 
114,@glorificus5884 She enjoyed our $4 Heineken Pints last week and forgot @Erock808 card on the table! 
115,@Maryyon ah d'accord  c'est chiant ̤a :/
116,whatching a comedy program lol 
117,@exoticmaya and @CandissCandi awwwww me had fun !!! Today is gonna b great!  yaaay can't wait to see y'all.
118,@GMKGoat That's no good  If you have issues in the future feel free to hit us up!
119,Getting ready to go talk real estate soon. Appointment is at 4:30 and I haven't put on my face yet. Bummage 
120,@NatGeoChannel I was watching a show on your channel yesterday about whales. SUCH A GREAT SHOW!! and whales are my favorite animal 
121,Doing homework(History n english) 
122,says mcd again  http://plurk.com/p/11m1f6
123,"@pLaTiNuM_LaTiNa Mannn I neva get to see you anymore aunte, "
124,"@gingercb47 @A11igata_pie @BerlyAnne  Uh-huh, I KNEW I was missing a party last night..lol..hate when that happens "
125,Byee everyone *sadly goes*  xxx
126,pretty much working nonstop today. 
127,@biancapaparo i know ! \/ we were never.  first year`s gonna be awesome. :&quot;&gt;
128,"@jessc098 It seems to be working now, I think, but yesterday would have tested the patience of a saint "
129,@dnieces I'm cooling the laptop now. Where did you put my FireWire? I wanted to back up but it's probably too late now. 
130,"@azizikhalid They should have priced it lower than that... it's museum material, mate "
131,@kristenstewart9 hahaha! love your dress kristen! &lt;33333 I voted for you!!!  GOOD LUCK! i hope you WIN some POPCORN!   
132,will watch the season finale of lost tonight!!! 
133,clouds on my pedestrian sunday  1st day of what will be a very intense week!
134,is at work please help me from this boredum 
135,Marco is a miserable long-furred flop. Just scheduled a grooming for this Saturday! Hope he feels better after. 
136,I'm pretty sure I broke my nose  surfing last week 
137,Just wake up after a good night sleep. First stage of ringerike grand prix today. 
138,@insanart Current fav is White Choc Macadamia. Peanut Butter my old stand by. Loved Gingerbread for the holidays. Mmmmm... 
139,"I really wish i knew how to make a website, but i do not understand any of that stuff. I  want a website "
140,Trying to decide where to go on hols next year for anniversay. Shame we can't afford the Caribbean again 
141,"@biskero how long is a piece if string?  Passing QA and pushing live are two separate processes, sometimes days, sometimes weeks"
142,@MsLynnGallo Never mind - You missed the joke about the skank Madonna falling off horse. 
143,@queena_teo i was about to ask you to enjoy your night 
144,is almost home  i wanna go back to AB
145,#moviemisquotes &quot;this coffee tastes like sh!t&quot; .. 'it is sh!t Austin' 
146,Back to work from vacation and not too happy about it 
147,"@GlennFG oooh Chesney, I'm j.  Meanwhile I'll be counting the minutes till Nascar baby!  Haha wish you were coming. "
148,@Roositje I couldn't study today  Don't know how . Hope that tomorrow is a better day .. And I still have to make my 'actuaportfolio' HELP
149,"@skrud yeah, twas mentioned. i gotta wait a month "
150,"Migrane # 3 of this week... Maybe its not number 3, maybe its the same one that keeps comming back.. "
151,My pictures no longer tell stories...  
152,Prom is costing me so much money 
153,"@Dianne_  i just got home from work, and you're getting up "
154,@thawrite1 oh you and @mdotperiod had free drinks?! thats wasup..Im givin up drinkin for a lil bit 
155,1:40 am still wide awake and i have to work in the morning   o well what can i do lol.
156,"Yesterday I washed the car, today I wash the dog   I tell you, it really is a charmed life."
157,Cubs game was fun even if disappointing   Might be a converted fan!
158,"@gfalcone601 Adam Sandler  in 50 first dates, he was awesome."
159,Just saw a Black and Orange Porsche GT3RS. didn't get a pic of it though. 
160,@4everbrandy Brandy who was pregnant that last season of Moesha lmao no seriously i've been wanting to know 4 years! 
161,Just got back from hunting!! I love when im running....you feel so free! *sigh* been a long and hard week 
162,i don't like it when people are mad at me 
163,@croshane @nopantsdance and I get cock flashes from you boys!!!   let's play beer pong!!!!
164,"Happy Mother's day to all, specially to my momma who's in a better place   I love you ma."
165,"@lejjewellery hmm, thats a real shame "
166,my internet's back ! 
167,"@twistingaether uggh, cars suck like that... "
168,"@levalley amen to that!  i'll keep you posted! keep sending good karma my way, lol!"
169,@primegecko rofl.  disney is a personal favourite.  I'm crying inside that he didn't invite me 
170,@ddlovato come to Brasil again please!!!Love you 
171,catch you later of to clash with pixies 
172,@Kutski Interesting! But oh no... they're saying it was cancelled! 
173,sad because its fathers day  
174,@wendy1066 Thanks for the offer love! I may take you up on that one day!! 
175,@GDGOfficial Aw happy Gavin 
176,Chlsea Lately  may be pregnant... check her last dress     no camels  4 dat dress    sorry 
177,I so do not feel like going to work today 
178,@19fischi75 need to hurry out - me overslept! 
179,"Quick visit to porvoo, afternoon it is just coding and beer indoors "
180,can't wait to partyyy.............tomorrow 
181,Last day of freedom 
182,so much for going out 
183,I'll spend the next few hours colouring these lines I've been working since ever.  Hello tablet dearest. *hugs* I named it Setsuna. 
184,I wanna blast deathklok but can't since I'm workin in the garage 
185,charming! i dont know if i can be assed anymore 
186,oh great and now he's gone to a child bowler. Please let this be over quickly 
187,going shopping with the sister and mom 
188,@jordanhowell  good luck 
189,I want to be on the cash cab 
190,@RickGallagher AMEN! well-you found Him! I didn't know what church was-took my ex beating me-me overdosing 2 numb pain 2 need a SAVE-YOUR 
191,Told mama abt him. And all tht ever came out frm their mouth was negative.  - http://tweet.sg
192,@Tori_Thompson Did you say something about drinking?  
193,"i must take care, my body is heat-y and i have massive headache today  i didn't drink last night "
194,@FFMo Glad to hear that   Professional phone sex operator. And you?
195,@__MissB I'm sure he will 
196,have a cough 
197,Eating out late at msc...  hope I don't regret it! Hahaah
198,play on! game! 
199,"Lastly, a prediction/hope for the @chicagobulls: to get @chrisbosh and lock him up. That'd make me happy. "
200,@tisdaleweb its going great 
201,I better be able to sleep tonight. This insomnia is getting old. 
202,"@Jintanut Yes #you rock as well....found it in trending topics search, just over there-------------------------------------&gt; &amp; down a bit "
203,Totally sore from an awesome kickboxing class last night! Amazing what a little body work does for the mind. 
204,[p.s.] ---&gt; Nip|Tuck got canceLL'd!! O M G;; &amp;&amp; we won't see tha finaLe tiLL 2011!! whaa buLLishh iiz that???? 
205,@theanalyst81 spiegelshire they played the song   the one song that I wanted to hear live still 
206,"had a great tri today! excitement, and soreness! but only after sitting in a car for 7hrs after intense exercise... ouch, but FUN! "
207,"@_babyliu Looking it up, there's hella petitions for fox to bring it back... But I doubt it.  Sooooo sad. I blame Misha Barton! Bitch. -_-"
208,"I think that Laura should hurry up and get here, I've missed the small one! "
209,so tired. off to bed. some of us do have to get up to unemployment and such tomorrow you know! blech assignments  xx
210,@kmbuck just hanging out at my house! why was there fireworks? i'm sad that you're gone  and didn't get to see you agaaaiin
211,@actormikedoyle If you are real.. follow me. My updates are on private. I cried when your character in svu died and I miss him a lot. 
212,@lucylocket007 Thanks so much 
213,@nathanrdotca thank you  have a good night! *hugs*
214,''ive never been so glad to be in america where people speak... spanish..'' hahah 
215,... Should add that it's on the radio as opposed to a small intimate reunion gig next to the AGA 
216,ok i loved miami baby ... but time to go home to my grandparents an hubby ....  thanks for all the love out here an all the drinks lol lol
217,"off to history class then the exam, pray for me please!!  xo"
218,"@ddlovato yesterday &quot;sonny with a chance&quot; came to brazil, i loved it! you're amazing &lt;33 please reply "
219,It's waaaaay too cold outside tonite 
220,"@aaronob I'm sorry, i'd be mad too "
221,@Jayme1988 like omg... it totally was! lmao i just keep falling asleep dead early so wake up earlier... i dont like it!  Lmao
222,"@MarkusFeehily Can you Link it Mark, I can find everything but that one  Hope your well...Kisses for You and The Mcdaid xxxx"
223,Oh!! @PamsLove I LOVE YOU SOOOOOO MUCH!!!!!!....all of them are going on my John Mayer blog!!!!!!  ...haha sooo sexy  http://bit.ly/187JNR
224,Very tired today.  Our apartment is so hot it is hard to sleep 
225,is munching on a nana sandwich 
226,@louisha awww excited to see you! and Girls Aloud on Wed 
227,@FlyermansGirl  good morning to you too!
228,*has an upset stomach* Hopefully the meds will kick in soon. I've kinda overdone it this week 
229,early phonograph industry? done.. just the rest of APM to revise  and only berry the green rabbit and ribena man for company
230,"At my Aunt Carol's house, meeting her new Yorkie puppy she just got!! "
231,"I like that my new followers' first impression of me is that I apparently fuck cats then drive them to work. Thanks, Brenda. "
232,@sardun I didn't realize she was teething and in pain! 
233,"sitting in my room, later going to school again  .. boring!... I've just decided to read a book now x)"
234,I'm not sure why I still have Myspace for.. I wish all the hot guys profiles weren't set to private 
235,"@noatishby beautiful! you go girl!  I also wrote a new song with a melody this morning, so happy about that."
236,"is at home, all by her lonesome  .fearLess."
237,@mattceni Thanks!  #blogchat
238,I hate sleeping alone in this California king sized bed.  I wish she were here with me 
239,"@AMissle damn, you got the fever! you cold too I bet. no work for you tomorrow  haha and yous a BOSS!"
240,@neilhimself: Just finished reading The Graveyard Book last night &amp; loved it! Favorite work of yours. Thanks for making Silas and Bod. 
241,"@verysmallghost ???? ???? ????  ? ??? ????? ?? ???????, ????? ? ????? "
242,Arlington Rap - Starbucks should pay this guy  - http://bit.ly/fYkd3
243,"Watched sunrise over The Nut at Stanley, lunch at a honey farm and watched the sun set at Freycinet. Fantastic day "
244,Eppachi jus calld. Grandpa is hosptlzd. I wanna c him now 
245,Just sittin on twitter bored out! 
246,This movie is sad 
247,@lilmike11790 @doublea17 @Kayla912 damn I feel left out  this convo is too funny for that http://myloc.me/1MNo
248,@Yaya327 I heart you mucho... Sorry we didn't come out last night Applebees is good but will kill you afterwards  ouchies it still hurts!
249,WORK.WORK. www.xydeline.multiply.com PLEASE DO VISIT! Thanks a Lot 
250,@gauntletwrites why do you hate the world? 
251,@ScottIngram sounds like that storm the other night may have been the root cause for this clock problem  
252,@twostepJON Oh calm down!  It is a game!  A GAME!  Lol.  hence someone wins and someone loses.
253,I wish Jess was awake.  Argh... I miss you Jess. -bangs head against wall-
254,"@greggarbo while you're collecting your thoughts, what kindof music doyou like? http://tinyurl.com/3bu6or a solid 2007 klosterman article "
255,@kelylilia Goodluck for you to.. 
256,Classes tom again! I'm so tamad again.  I want to go out tom afternoon!
257,We are unable to activate your iPhone Developer Program membership because we are unable to successfully verify your identity.  
258,"Off to bed after hours on the phone gossiping with Bia, lol. Nite nite, sleep tight! "
259,@stephenfry hosting sorry i havent a clue tonight. should be good! 
260,@xmarycatherinex I miss yo ass 
261,"@drewmeyers Yes, in my reader! however I wish their pro memberships weren't so expensive  I like their stuff same can be said for hubspot"
262,Stampede tonight. College Night. We'll be gettin' it! 
263,2 away from my birthday goal of 100 
264,@brinalovesjoe http://twitpic.com/7ibos - Luckkyy!! Hes such a cutie 
265,@OscarValentino whiped. Like whiped cream 
266,What a great run! Eating chicken and pasta now with some green olives on the side. Yum 
267,@sweetergirl Tell me about it.. 
268,@xboxe3 winter mission in MW2... with snowmobiles! 
269,Happpy b day me! 
270,Just got home from ikaikas graduation party. Don't want him to go 
271,I finallllly have the internet on my phone  twitterberry is so cute !
272,mind over matter does not work on a bad cold 
273,@_shannytaygans starting next Monday I've got work again 
274,@cordmarston Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
275,"@iLLWiLLieWiLL lol i want him to reply to me, that'll make my day "
276,"@iamlikesounds we were on yesterday, went really well!  i hope"
277,i?C.B+T.H|| Watched http://tinyurl.com/cfhr42 Made me cry a bit. Im worried 
278,@jeremypiven yay! can't wait 2 see more of ur tweets &amp; chat! 
279,"going to the dentist now,  going to get yelled at by the receptionist for not wearing my retainer. i'm scuuuured."
280,@BitchNotAPerson ouch that hurts  I didnt say that she has to be here all the time!
281,@callas28 the sun keeps shining but my inspiration towards the marketing assignments is declining  
282,@jessicakattz some twitter lovin' for my sick friend  &lt;33
283,@LudoRock I work in the music section of a bookstore and I always put a Ludo CD on clear display. 
284,"@ImWendy kept waking up with fever, so I just stayed up &lt;shrug&gt; It's getting kinda late for you too, sweets - you should get some rest "
285,@Arcania &gt;^..^&lt;   Going alright so far. Better with snuggles.  How about yours? 
286,About to get my massage....YES! 
287,@pinkjcee where'd you go? 
288,"http://amandacraig.tumblr.com/ - follow me, i'm going to start updating it more "
289,"I always learn something from @warrenaissance. No need for Bounty, he's the original quicker picker upper. "
290,"@worldpolice sure, you may aswell - it's on about 100 other blogs anyway "
291,@michaelsheen Many congratulations on your OBE! Love your twitpics cos u r always so happy + u brighten my day 
292,For those buddying spymasters who don't know how to win games like this - concentrate on real estate 
293,@monkeyfudge what an awful idea 
294,has twitter! 
295,Loving my new 8900! 
296,Titan Maximum department head meeting starting now. See you all in 90 minutes.   
297,God's Choice Book Update: No book today  Delays due to page numbering in the index.  Shooting for the 22nd!
298,@Ptrsha hahaha yeayea. i'm so disappointed! my karma in plurk went down  huhu you're damly right it's HIGH MAINTENANCE.
299,"@Karen230683 yeah but u can't stop thinking about nibbling on them now can u, u dirty get "
300,Have a job interview in Kent today...wish me luck. 
301,Yay! At work and only got 4.5 hours of sleep and I got another 13 hour day ahead of me!! Lovin life! 
302,hurray for texting!!!!!  but youu can't hear cool accents through texts 
303,wishes wag naman sana...  http://plurk.com/p/13sbkf
304,@xlloydz ill be there soon 
305,My back is burnt 2 a nice crisp not to mention it's on fire rite now  nite twits. 2mrrw is another day in the sun! Lmao
306,@su_b Office calendar is now &quot;You're trying to kidnap what I have rightfully stolen&quot; 
307,Tried Nambu for 2 sec. and immediately the first crash. That's what you call beta 
308,Work - DONE! Now off to melt in the sun while refereeing a football match! 
309,"it felt like i had a lot to do tuday, in reality i had a gut drainin day "
310,is hateing the rain! 
311,"@Shongz  cool, you'll look good "
312,@RonEarl Excellent--thank you! 
313,My friends are getting a bit groggy about the music I'll mellow it out a bit 
314,Waking up to another day of moving... yay 
315, lol &quot;you guys text fast.&quot;
316,@kcklo63 you have a smart 9 year old .. Although its a little more than that  but she is on the right path of thinking ..
317,@vincegiordano Maybe because Monday is the first day of the week  At least here in Germany... How are you Vince? When are you moving?
318,"@Troooper Not bad, some things can be fixed but yeh good luck. "
319,last night in west van..bbq on the balcony..and copious amounts of Lindeman's...seriously don't wanna go back to Ontario! 
320,@louisebohmer Comma splicing is just the sign of being a real writer. You're aiming for poetic flair instead of perfect English grammar. 
321,ok I'm swimming in moving boxes. sadly many of them are still empty. If I werent still at my old address... this would be a good thing 
322,Busy morning all round. Looks like I'll have to visit Maidenhead town centre for my lunch as sandwich people have stopped coming 
323,should start revising and stop letting twitter and facebook take over my life 
324,Damn. This is a new feeling. An ultimate low.  Sucks I've slept too much and have too much energy to go back to it.
325,Hmm its taking ages to eat 
326,"@Blakeybelle ha, aww, hangovers  Seriously , try getting totally wrecked 3 nights running, feels like death! I wanna get fkd tonight! lol"
327,Leaving 
328,"@TinainMelbourne u too! pity we didnt get the chance to chat more... next time  ur sister is very nice,was great to meet her!"
329,Why does bubblegum chapstick have to taste sooo good?!  And why do people feel the need to conform to society...it makes me sick. bleh....
330,@darryl1974 I just forgot to buy the newspaper that week so missed it 
331,@whoisjob LOL oh that is deep...(a woman needs a man like a fish needs a bicycle)  True though!! hehe
332,@mikecane Told you so.  Don't you trust @svinge and I?
333,my exam was not too happening...I'm sad 
334,"@kingofdesirex yeah definitely cant  i drive now so we'll come see you two soon, okay?"
335,@chriseatworld yes n now nomore redbull in hk 
336,@bennyliciousss wtf is twitpic-ing? 
337,is going to bedd.  church in the morning! PRAISE JESUS!
338,@Hannzzz i hope it all works out 
339,@docbaty agreed! did you notice the &quot;new site walk through&quot; link? Made me laugh! But I do like! Right next to &quot;Feedback&quot; link too! 
340,My PC is down... 
341,#MtAlbert Melissa Lee says there is no way rates would go up in super city Auckland. She must be nuts to say that 
342,"I'm thinking this is not something you want, this is something you need.... I'm talking about honesty and you daily fiber "
343,Just had a run by the river to clear my head. 'Did it work?' I hear you cry. Well yes. Yes it did 
344,@pixelsnatch Definitely   The show can't come fast enough
345,@toysrevil no probs... You too 
346,Wow losing a life on a basic enemy and not a boss is the ultimate shame 
347,i'm afraid that i'm wearing too much make up 
348,"@puina aw, i hope your knee feels better. "
349,really hopeing danny gokey will follow me. 
350,"First Monday of the month, got a RedBox code: FM63H7.  Good for a free 1 night rental. "
351,Yay science  probs skipping... Depends if alastair is there or not
352,"I have an Italian, Sose, Science and math test tomorrow  I really should study now...but I dont want too :p"
353,Days like this I remember how lucky I am to live on the shore! Beautiful day 
354,Is that man handicapped. 
355,Just took marley to the hospital...  waiting to hear back from them to see how he is!
356,@tradergav Postage is a biatch between USA &amp; OZ. 
357,comedy central removed from zattoo  no more sarah silverman? family guy? Saus park?  no more wasting time 
358,Making Lasagna and Garlic Bread  then Back to the Grind.
359,http://twitpic.com/4j2kf - My C playin drums to &quot;Hunger Strike&quot; sorry its a little blurry  but he's the cutest thing ever!
360,"@gilamonstre it's a good feeling, but there are less and less of them all the time "
361,@rads The numbers are printed small for a reason. Maximum utilization of space 
362,@itworks take on the development of a method and linkage to #Archimate right now  #vpect
363,@muppmupp think positive ... couch could be safe.  be careful at my place tho - i have tiles everywhere .. not good for falls 
364,@quillons I woke up at 10 to 6.  10 minutes before my alarm.  Ive become an early bird.  
365,I might be saying bye to my iPhone for a few days 
366,Got digital tv working on my computer but not the big tv  Watched Dr Who.  Now Bones before #Castle starts
367,has updated http://i-dont-love-you.blogspot.com/ ... Please comment on the blog if you like it.. it improves the page rank 
368,"It's feeling like a rum morning. Oh yeah, I'm drinking on the fire escape today. "
369,@dropthelime follow us  Hot Pink Delorean was excited you guys are playing together down here. Can't Wait !!
370,@Sunshinetalia I know exactly what you mean. 
371,@baldeggie good morning. Today I need to be productive the sun isn't really helping. 
372,@markdrew argh... got me on that one  http://myloc.me/4txI
373,"New plan: pasta. Mcfly &amp; room cleaning. Dishes, homework, sketches. Movie. Call dad and ask to borrow 100 dollars... The fun part "
374, disneyland fireworks!
375,"@IIanS I love U2! Lol, I you ever need a slow but good audiobook Oliver Twist is a one I've been listening to lately. "
376,@Amanda_A awww! that's our thing! 
377,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck
378,"oh ya, and GO LAKERS!!! FINALS baby  super stoked"
379,"Has had a great weekend. Been playing with Sophie, watching @joshuar1313 play #CoD5 and listening to music. Nice relaxing Saturday night! "
380,Going to pick up chelsea &amp; then going to get shoes for banquet 
381,@simoncurtis aww!! You looked so cute in your outfit! 
382,sayang pengen ngeremove nail polish nya ... 
383,@DanCMos No spaghetti prior to the climb. I promise. Continue your good work keeping us safe &amp; sound. 
384,"My hubby went out to check some progress of our house. Mean while, I can catch up some DVDs. "
385,"@stephburdorff .... it's &quot;hard cider&quot; .. haha. next up, i'll introduce them to blue moon &amp; oj. "
386,has just joined twitter 
387,really bored- go tests all week 
388,I wanna go home  I hate this. I want SC to call. I want to ditch this dead job (
389,@bing hey! I need Bing stickers for my laptop  where can I find 'em?
390,pregnant ladies are the last people you wanna try to act funny with 
391,"morning all. Careers post Pt II, about music careers, is up on my blog now:  http://twurl.nl/oyn6ef "
392,@shirleybrady Hi Shirley - how goes? All well and enjoyed. 
393,Im not worth it 
394,I knew you were too good to be true... Ugh!... Oh well w/e today is gonna be a good day! Im determined to make it so! 
395,@eBeth have installed the much talked about tweetdeck... My hubby does most of the geek stuff in our house so am a little bemused 
396,PRD take a long time to review! 
397,E hoje ta mais frio     Coffee coffee coffee..hhe
398,thinking of getting a fake owl to for the balcony. there is a young bird who wakes me up at 5am every morning and then squawks all night. 
399,"ok. nighters, peeps. missing my Man sucks "
400,I know.. But lets pray about it.  cuz God is good to us so he might listen to our prayer! I will try to talk to ur dad tomorrow when h ...
401,@giovanniclean I was on my way to work  I send my love
402,"is so sorry that she made Celeste come in to campus on her bday...  HAPPY BDAY, Celeste "
403,"Just bought plane tickets from Bangkok, Thailand to Ho Chi Minh City, Vietnam  One plane ticket down, two to go!"
404,"@missjeffreestar I am,but you're not coming to chicago "
405,"Leaving for work, fun fun fun "
406,Is awake and hung over again got banana in my bed moaning cos she has a cold 
407,@wennie_s I'm not at 100 yet.    I keep deleting bots and people who use programs to get followers.
408,@ajaedandridge let me just keep that private 
409,@joshtastic1 I wanted James to go through  #theapprentice
410,@FoneArena my last phone was e71 but i killed it  now im stuck with a naff 5800 who's battery dosn't even last 2/3 of a day  gife n97 :O
411,At a dead stop in the middle of the highway. Traffic SUCKS. 
412,Wow i feel horrible today  i have so many plans. I hope i feel better in an hour or 2
413,@DawgCPA Oh. My. God. That's ridiculously inexcusable. We're done. So sad for Mass &amp; my fave Cerione 
414,@johnnythefuture Dude. Don't let the hipsters run you over 
415,"@austinat Ah ok. Anyways, I still hope to see another sequel. "
416,Chillin' at Starbucks with Edward 
417,"Hopes electricity doesn't go out again, tired of reseting my alarm block :l niiiight "
418,is verry bored need sumit to do 
419,Grr... arms are killing me after one session of badminton 
420,I'm really craving Taco Bell for some reason. Why did they have to discontinue the chicken Crunchwrap? 
421,@PromotionsCrew I forgot it was the 16th today! haha Happy Birthday to Sonny! 
